,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4
134,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,PerCapitaIncome,0.0600714926169047,0.00047937469233053434,0.03216470517172152,0.0046645038041636866,-1.5733499573047848e-06
135,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,GDP_per_capita,0.060303527334566454,0.00047705880776231026,0.030576885750040295,0.003323222071478718,-2.3039706864282445
136,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,heat_death,0.06070632458624192,0.0005365826551433495,0.03191139399117496,0.0003483164413851102,-0.0014258505667733214
137,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,winter_storm_count,0.06122792735862015,0.00045615697832788804,0.03524176709893463,0.0005823832444515454,0.00028467957148678
138,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,flood_count,0.060330840537206276,0.00039443299012369994,0.03785848403589502,-5.117494308021489e-06,0.0002045281036859697
139,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,flood_death,0.06076711891568454,0.00038571027604045535,0.034954049717337225,1.2967543917415753e-06,0.007938136824782345
140,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,avg_tornado_scale,0.0601537858786827,0.000497681084009096,0.034263084761991705,-1.2881724645135722e-05,0.0177273747635444
141,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,PerCapitaIncome,0.060059322400151216,0.0005027850815618904,0.032295130576099514,-1.1004564736668937e-06,-1.5974298965218157e-06
142,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,GDP_per_capita,0.060297451411878034,0.0004884199993909001,0.030563615040924575,1.4345997335272394e-06,-2.334983551302045
143,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,heat_death,0.060720754046848846,0.0005773731457290851,0.03251965610565335,-1.6653602580194622e-05,-0.0014398280830847227
144,Fixed effect,tornado_count,wildfire_dummy,tornado_injury,winter_storm_count,0.061240890418085225,0.0004955342732722886,0.03585030164148664,-1.58466072263735e-05,0.00028630989684921593
145,Fixed effect,tornado_count,wildfire_dummy,flood_count,flood_death,0.0608453157558404,0.00034713878865288815,0.036812255928721865,9.638457063231927e-05,0.006773818416483676
146,Fixed effect,tornado_count,wildfire_dummy,flood_count,avg_tornado_scale,0.06054207116360777,0.0003515488518870147,0.03792050740873557,0.00019545393740547326,0.01607148876231479
147,Fixed effect,tornado_count,wildfire_dummy,flood_count,PerCapitaIncome,0.0605406515778415,0.00036729590402947293,0.03672603053730646,0.0002153285471855615,-1.798737777227389e-06
148,Fixed effect,tornado_count,wildfire_dummy,flood_count,GDP_per_capita,0.06075194588709676,0.000363568159644855,0.035030601779838126,0.0002087354311964849,-2.3766891918841053
149,Fixed effect,tornado_count,wildfire_dummy,flood_count,heat_death,0.06102272074204307,0.0004285903746977862,0.03576338856315266,0.0001752794117305983,-0.001325227778492451
150,Fixed effect,tornado_count,wildfire_dummy,flood_count,winter_storm_count,0.06139383473260995,0.0003833632259947669,0.037865124725602446,0.0001296146956570325,0.00026133257023209177
151,Fixed effect,tornado_count,wildfire_dummy,flood_death,avg_tornado_scale,0.060973329575787605,0.0003560495663960786,0.035393453466953856,0.007723560924744851,0.01581943038536378
152,Fixed effect,tornado_count,wildfire_dummy,flood_death,PerCapitaIncome,0.060976301759172236,0.0003774280113830861,0.03387432496944568,0.008125361310582701,-1.7880696116581023e-06
153,Fixed effect,tornado_count,wildfire_dummy,flood_death,GDP_per_capita,0.06119197187968173,0.00037119664787262026,0.032281693150903616,0.008016416591949748,-2.383469287345339
154,Fixed effect,tornado_count,wildfire_dummy,flood_death,heat_death,0.06157697851516075,0.00041947398013751836,0.03361954861846512,0.00790770174397443,-0.0014230208637824506
155,Fixed effect,tornado_count,wildfire_dummy,flood_death,winter_storm_count,0.06184017580575285,0.0003629288162305293,0.03650856550108651,0.006697205382673574,0.00025790664073754616
156,Fixed effect,tornado_count,wildfire_dummy,avg_tornado_scale,PerCapitaIncome,0.06028308915548053,0.00046342323888403297,0.03280443716842105,0.016505744451001392,-1.4546877589785616e-06
157,Fixed effect,tornado_count,wildfire_dummy,avg_tornado_scale,GDP_per_capita,0.06051312911695328,0.0004557995090147022,0.031193706706517065,0.01618817765108385,-2.22234669353992
158,Fixed effect,tornado_count,wildfire_dummy,avg_tornado_scale,heat_death,0.06093449034620069,0.0004999805647276653,0.032398879837614906,0.016622064767172814,-0.0014054424819529014
159,Fixed effect,tornado_count,wildfire_dummy,avg_tornado_scale,winter_storm_count,0.0614192265842578,0.0004251881515428827,0.0356359725787698,0.015244577193881151,0.0002787539849859607
160,Fixed effect,tornado_count,wildfire_dummy,PerCapitaIncome,GDP_per_capita,0.06066506511853942,0.00048189049791006583,0.027911002577811515,7.407246557883999e-06,-8.903656340105469
161,Fixed effect,tornado_count,wildfire_dummy,PerCapitaIncome,heat_death,0.06109690949205315,0.0005310466275891784,0.030067446007321447,-2.5016998428627215e-06,-0.0016514118858781902
162,Fixed effect,tornado_count,wildfire_dummy,PerCapitaIncome,winter_storm_count,0.06145532310611601,0.0004486785847695396,0.03408547969560322,-1.8653990018105468e-06,0.00029177019530585803
163,Fixed effect,tornado_count,wildfire_dummy,GDP_per_capita,heat_death,0.06145841170616406,0.0005226776385147412,0.02786540516263281,-3.257168914212223,-0.0017502554182759744
164,Fixed effect,tornado_count,wildfire_dummy,GDP_per_capita,winter_storm_count,0.06166146709822529,0.0004416628616423076,0.0325124575114667,-2.408105120940353,0.0002879900331785601
165,Fixed effect,tornado_count,wildfire_dummy,heat_death,winter_storm_count,0.06173034008625977,0.0004883760599423551,0.0339394454790518,-0.0011390614543010224,0.00025351354608870043
166,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,tornado_injury,0.0599860084827053,0.0004700711832133855,0.0002525693585546022,0.011207828318133278,1.215302706629283e-05
167,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,flood_count,0.0603778648487906,0.00040776612107608644,0.0002795582950421938,0.00494482302910062,0.0002010727251171897
168,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,flood_death,0.06101906494494491,0.0004065251993855057,0.00029396978344359786,0.0035048943684580797,0.008886149700233801
169,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,avg_tornado_scale,0.06023447116252634,0.00045169749525065335,0.000253071431593981,0.012717487448938079,0.017655622453959605
170,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,PerCapitaIncome,0.06015201830186878,0.000496133211884822,0.0002464050820079853,0.009781556372531643,-1.6295240185078383e-06
171,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,GDP_per_capita,0.0603972249882373,0.0004932218194618276,0.00023758479574449592,0.008212042533409746,-2.370601043982473
172,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,heat_death,0.061910174142690844,0.0006066239677418192,0.00042376914018109124,0.00480622377402728,-0.002420141875535054
173,Fixed effect,tornado_count,wildfire_count,tropical_storm_dummy,winter_storm_count,0.061058481739414194,0.00047342389803553065,0.00022724629620091442,0.005959251513839266,0.0002583139674779298
